Date,EEM,EWJ,FXB,FXE,FXY,GLD,IEF,IWM,QQQ,SLV,SPY,TLT,USO,UUP,VGK
2012-09-10,29.862863540649414,28.280370712280273,144.65103149414062,120.7242431640625,125.45999908447266,167.2899932861328,80.98341369628906,69.71682739257812,60.92409133911133,32.290000915527344,113.16251373291016,86.0410385131836,286.79998779296875,18.44564437866211,29.202682495117188
2012-09-11,30.220138549804688,28.40510368347168,145.4096221923828,121.68587493896484,126.30999755859375,167.89999389648438,80.83342742919922,69.86647033691406,60.82631301879883,32.40999984741211,113.47795104980469,85.50122833251953,288.8800048828125,18.303627014160156,29.630552291870117
2012-09-12,30.354122161865234,28.716903686523438,145.6837615966797,121.97151184082031,126.11000061035156,167.9199981689453,80.43603515625,70.22381591796875,61.00408935546875,32.209999084472656,113.8564224243164,84.4355239868164,288.32000732421875,18.28691864013672,29.731231689453125
2012-09-13,31.172895431518555,29.184598922729492,146.1498565673828,122.92359161376953,126.62999725341797,171.30999755859375,80.6684799194336,71.1463851928711,61.830780029296875,33.61000061035156,115.59123992919922,84.10333251953125,292.0799865722656,18.16996192932129,30.228322982788086
2012-09-14,31.53762435913086,29.496402740478516,146.8260955810547,124.1517562866211,125.23999786376953,171.8000030517578,79.91112518310547,71.81133270263672,62.381858825683594,33.599998474121094,116.10374450683594,81.86808013916016,294.7200012207031,18.078067779541016,30.542943954467773
2012-09-17,31.195234298706055,29.215782165527344,146.94493103027344,124.0279541015625,124.66999816894531,170.39999389648438,80.07608795166016,71.4788589477539,62.408538818359375,32.9900016784668,115.70948028564453,82.85078430175781,286.0,18.103130340576172,30.373058319091797
2012-09-18,31.210105895996094,29.278148651123047,146.95407104492188,123.3520278930664,124.54000091552734,171.72000122070312,80.27857208251953,71.24612426757812,62.461891174316406,33.709999084472656,115.61486053466797,83.26598358154297,284.55999755859375,18.161609649658203,30.203168869018555
2012-09-19,31.210105895996094,29.340505599975586,146.7255859375,123.50437927246094,125.30000305175781,171.74000549316406,80.46600341796875,71.12145233154297,62.57744598388672,33.56999969482422,115.67790985107422,83.81266784667969,272.9599914550781,18.103130340576172,30.32271385192871
2012-09-20,31.02402687072754,29.028703689575195,146.7255859375,122.6760482788086,125.44999694824219,171.47000122070312,80.51101684570312,70.8056411743164,62.51521682739258,33.58000183105469,115.68586730957031,84.02033233642578,276.0799865722656,18.18667221069336,30.08990478515625
2012-09-21,31.09846305847168,29.184598922729492,146.99977111816406,122.86642456054688,125.66999816894531,171.9600067138672,80.6834716796875,71.06328582763672,62.53303527832031,33.47999954223633,115.63748931884766,84.1171646118164,275.9200134277344,18.16996192932129,30.209457397460938
2012-09-24,31.068693161010742,29.12224578857422,146.71644592285156,122.2761459350586,126.12000274658203,171.0500030517578,80.86344146728516,70.83132934570312,62.16754150390625,32.93000030517578,115.46305847167969,84.77462005615234,272.7200012207031,18.21173095703125,30.0729923248291
2012-09-25,30.607206344604492,29.12224578857422,146.4148406982422,122.06670379638672,126.19000244140625,170.77000427246094,81.16339874267578,69.81336212158203,61.293968200683594,32.68000030517578,114.23429870605469,85.61201477050781,270.0,18.24515151977539,29.80264663696289
2012-09-26,30.46578025817871,28.81043815612793,146.18638610839844,121.67634582519531,126.30999755859375,169.80999755859375,81.50080871582031,69.37115478515625,60.79478073120117,32.869998931884766,113.5921630859375,86.53240966796875,266.7200012207031,18.278564453125,29.3778133392334
2012-09-27,30.949604034423828,29.153425216674805,146.85353088378906,122.14286041259766,126.4800033569336,172.33999633789062,81.32835388183594,70.12210083007812,61.632686614990234,33.58000183105469,114.66238403320312,85.91650390625,273.20001220703125,18.228439331054688,29.77689552307129
