Strategy,BH,BH,BH,TSMOM,TSMOM,TSMOM,VC_CONTRARIAN,VC_CONTRARIAN,VC_CONTRARIAN,VC_FLAT,VC_FLAT,VC_FLAT
RoundTripCost,0.0,0.0002,0.001,0.0,0.0002,0.001,0.0,0.0002,0.001,0.0,0.0002,0.001
Date,,,,,,,,,,,,
2008-04-24,-0.002523844649661101,-0.002523844649661101,-0.002523844649661101,-0.002253548030578338,-0.002254861623307969,-0.002260115994226497,-0.009008694398311062,-0.009010007991040694,-0.009015262361959223,-0.005631121214444699,-0.005631121214444699,-0.005631121214444699
2008-04-25,0.004454238911137626,0.004454238911137626,0.004454238911137626,0.004440973501193037,0.004440973501193037,0.004440973501193037,0.004106924594586613,0.004106924594586613,0.004106924594586613,0.004273949047889825,0.004273949047889825,0.004273949047889825
2008-04-28,0.0007948880608017318,0.0007948880608017318,0.0007948880608017318,0.0007345289713191101,0.0007345289713191101,0.0007345289713191101,-0.0027002925198338383,-0.0027002925198338383,-0.0027002925198338383,-0.000982881774257364,-0.000982881774257364,-0.000982881774257364
2008-04-29,-0.005504169808027581,-0.005504169808027581,-0.005504169808027581,-0.005231137756127424,-0.005231137756127424,-0.005231137756127424,-0.010637484326670643,-0.010640684925082399,-0.010653487318729418,-0.007934311041399035,-0.007935911340604911,-0.007942312537428421
2008-04-30,0.005435689097164889,0.005435689097164889,0.005435689097164889,0.005322313789244709,0.005322313789244709,0.005322313789244709,0.011504586893654979,0.011504586893654979,0.011504586893654979,0.008413450341449843,0.008413450341449843,0.008413450341449843
2008-05-01,0.018632488753706728,0.018632488753706728,0.018632488753706728,0.018746180911734255,0.018744605666397962,0.0187383046850528,-0.007855334150281133,-0.007856909395617423,-0.007863210376962587,0.005445423380726559,0.005443848135390268,0.005437547154045106
2008-05-02,0.004422421005093549,0.004422421005093549,0.004422421005093549,0.004336095596343516,0.004336095596343516,0.004336095596343516,0.003529850386381874,0.003529850386381874,0.003529850386381874,0.003932972991362695,0.003932972991362695,0.003932972991362695
2008-05-05,-0.0011207278215294273,-0.0011207278215294273,-0.0011207278215294273,-0.0013728058519660428,-0.0013743810973023335,-0.0013806820786474965,0.0010154228329216346,0.0010138475875853439,0.001007546606240181,-0.00017869150952220394,-0.0001802667548584947,-0.0001865677362036577
2008-05-06,0.008370068008633963,0.008370068008633963,0.008370068008633963,0.008322846075387911,0.008322846075387911,0.008322846075387911,0.0029549077905855333,0.0029549077905855333,0.0029549077905855333,0.005638876932986723,0.005638876932986723,0.005638876932986723
2008-05-07,-0.02243112015578082,-0.02243112015578082,-0.02243112015578082,-0.022322586101968155,-0.022322586101968155,-0.022322586101968155,-0.006526539370576092,-0.006526539370576092,-0.006526539370576092,-0.014424562736272123,-0.014424562736272123,-0.014424562736272123
