Asset,Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown,Avg |Δw|
SLV,VC_FLAT,0.0,-0.06528580006426377,0.18041352452450138,-0.283729062485708,-0.29051845755680117,-0.20516201110824944,-0.8553155390051381,0.10660694288913773
SLV,VC_FLAT,0.0002,-0.06779514010988652,0.18041978676299078,-0.2986061260607706,-0.3057356530933944,-0.2073209983596827,-0.86004271138148,0.10660694288913773
SLV,VC_FLAT,0.001,-0.07776925838027049,0.18046689129881988,-0.358060289024002,-0.3675332962240503,-0.2159093046555624,-0.8774628766577961,0.10660694288913773
SPY,BH,0.0,0.11595245251304354,0.19895041347017597,0.651091646440242,0.7883221952058014,-0.00013084225677846258,-0.5148148790482734,0.0
SPY,BH,0.0002,0.11595245251304354,0.19895041347017597,0.651091646440242,0.7883221952058014,-0.00013084225677846258,-0.5148148790482734,0.0
SPY,BH,0.001,0.11595245251304354,0.19895041347017597,0.651091646440242,0.7883221952058014,-0.00013084225677846258,-0.5148148790482734,0.0
SPY,TSMOM,0.0,0.026344507570358777,0.19909670943980445,0.2306036964653948,0.280330238741372,-0.40855527255518753,-0.4611552674721593,0.07928331466965285
SPY,TSMOM,0.0002,0.024297683142392668,0.1990907892206516,0.22057748206138952,0.26818998995355686,-0.40865264535553314,-0.46791198019035996,0.07928331466965285
SPY,TSMOM,0.001,0.016147066002872634,0.19908638312550966,0.1804491887987157,0.21957754733950055,-0.4089100885652079,-0.4941149415796765,0.07928331466965285
SPY,VC_CONTRARIAN,0.0,0.020855085112131855,0.1991014177346098,0.20312535025706543,0.2628302250583866,0.23348724281072747,-0.4230668423686609,0.1343784994400896
SPY,VC_CONTRARIAN,0.0002,0.017402015677262295,0.19911519852149373,0.1861081703048232,0.2408794650600615,0.2339272154530955,-0.4232956218553201,0.1343784994400896
SPY,VC_CONTRARIAN,0.001,0.0036993324953753515,0.19920202983399307,0.11804420641243804,0.1529514001452832,0.23549566557707272,-0.4371908118771809,0.1343784994400896
SPY,VC_FLAT,0.0,0.039593932389000885,0.09312547134554734,0.4636485653023512,0.44400463330163814,-0.542386472430576,-0.27487766774129974,0.05711086226203808
SPY,VC_FLAT,0.0002,0.038099115483769985,0.09312777452311993,0.44818659012142464,0.43097670316253345,-0.5439503158704144,-0.28124017651566624,0.05711086226203808
SPY,VC_FLAT,0.001,0.032139218942367265,0.09315785663309327,0.3862597865193314,0.3727906366660406,-0.5498976642310814,-0.3061454565655044,0.05711086226203808
TLT,BH,0.0,0.026374820423814338,0.1542199871080147,0.24587191040971046,0.37753920248461764,0.08576566902075831,-0.48351165210563885,0.0
TLT,BH,0.0002,0.026374820423814338,0.1542199871080147,0.24587191040971046,0.37753920248461764,0.08576566902075831,-0.48351165210563885,0.0
TLT,BH,0.001,0.026374820423814338,0.1542199871080147,0.24587191040971046,0.37753920248461764,0.08576566902075831,-0.48351165210563885,0.0
TLT,TSMOM,0.0,0.02251337542905829,0.15422348651131784,0.22139771172646355,0.3483129701517166,0.14652399225795498,-0.4508029691368911,0.12497200447928332
TLT,TSMOM,0.0002,0.019296511707606268,0.15424041525862509,0.2009598950730056,0.31617789162777654,0.14769825769793923,-0.4561599760106656,0.12497200447928332
TLT,TSMOM,0.001,0.006523590431016579,0.15434637519536337,0.11922392266308124,0.18777500785781753,0.1521156974323214,-0.4770808003833107,0.12497200447928332
TLT,VC_CONTRARIAN,0.0,-0.04285764844832285,0.1542253932888807,-0.20684759016974127,-0.3150303314904765,-0.04415767677373338,-0.674271574058525,0.20963045912653974
TLT,VC_CONTRARIAN,0.0002,-0.047903248561417144,0.15424398326514188,-0.2410638966906332,-0.36713789576158523,-0.04249507211021136,-0.6963744849109543,0.20963045912653974
TLT,VC_CONTRARIAN,0.001,-0.06783093532554407,0.15437959887503236,-0.37769676097524557,-0.5755605777750158,-0.03598937479845818,-0.7708037301828036,0.20963045912653974
TLT,VC_FLAT,0.0,-0.003352166799084677,0.09469989454354917,0.011845715742933492,0.01427606095178848,0.22476464404015725,-0.317935322565028,0.12340425531914893
TLT,VC_FLAT,0.0002,-0.006448459103275628,0.09472430942337295,-0.02097986134224463,-0.024809112522779626,0.2232737488683204,-0.33336351214630133,0.12340425531914893
TLT,VC_FLAT,0.001,-0.018742611252433927,0.09487016650783912,-0.15203585115046753,-0.1811527951073623,0.21654614027096167,-0.3929725772195508,0.12340425531914893
USO,BH,0.0,-0.11822879283202903,0.3720869455058074,-0.1493634925510108,-0.19350200997143094,-0.6688401538508167,-0.9818692538851105,0.0
USO,BH,0.0002,-0.11822879283202903,0.3720869455058074,-0.1493634925510108,-0.19350200997143094,-0.6688401538508167,-0.9818692538851105,0.0
USO,BH,0.001,-0.11822879283202903,0.3720869455058074,-0.1493634925510108,-0.19350200997143094,-0.6688401538508167,-0.9818692538851105,0.0
USO,TSMOM,0.0,0.033478060160290424,0.37204815556235094,0.27359165268948693,0.3960032474184999,0.48913584709977515,-0.874752595877017,0.11422172452407615
USO,TSMOM,0.0002,0.03050786850570164,0.37204890166919546,0.26585625268588187,0.3848250954911416,0.48944372404109715,-0.8775795156095948,0.11422172452407615
USO,TSMOM,0.001,0.018706348791988292,0.37206647535782106,0.23490575156706164,0.34009969051713607,0.49061389942240147,-0.8882684926294019,0.11422172452407615
